,Cheilomenes sexmaculata,Telostylinus angusticollis,Poecilia reticulata,Bicyclus anynana,Speyeria mormonia,Taeniopygia guttata,Coenonympha pamphilus,Panorpa cognata,Sturnus vulgaris,Choristoneura fumiferana,Scathophaga stercoraria,Riptortus pedestris,Simochromis pleurospilus,Anopheles stephensi,Dichochrysa prasina,Tribolium castaneum,Pieris rapae,Tenebrio molitor,Hippodamia convergens,Coleomegilla maculata,Cryptolaemus montrouzieri,Aedes aegypti,Drosophila melanogaster,Brachionus calyciflorus,Ceratitis capitata,Chrysoperla carnea,Gnatocerus cornutus,Nicrophorus vespilloides
Tenebrio molitor,0.700125471,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0.550815558,0,0.611041405,0.617314931,0.774153074,0.611041405,1,0.700125471,0.700125471,0.700125471,0.611041405,0.611041405,0.055207026,0.611041405,0.617314931,0.808030113,0.663739021
Hippodamia convergens,0.998745295,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0.550815558,0,0.611041405,0.617314931,0.700125471,0.611041405,0.700125471,1,0.998745295,0.998745295,0.611041405,0.611041405,0.055207026,0.611041405,0.617314931,0.700125471,0.663739021
Coleomegilla maculata,0.998745295,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0.550815558,0,0.611041405,0.617314931,0.700125471,0.611041405,0.700125471,0.998745295,1,0.998745295,0.611041405,0.611041405,0.055207026,0.611041405,0.617314931,0.700125471,0.663739021
Cryptolaemus montrouzieri,0.998745295,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0.550815558,0,0.611041405,0.617314931,0.700125471,0.611041405,0.700125471,0.998745295,0.998745295,1,0.611041405,0.611041405,0.055207026,0.611041405,0.617314931,0.700125471,0.663739021
Aedes aegypti,0.611041405,0.658720201,0,0.658720201,0.658720201,0,0.658720201,0.658720201,0,0.658720201,0.658720201,0.550815558,0,0.761606023,0.611041405,0.611041405,0.658720201,0.611041405,0.611041405,0.611041405,0.611041405,1,0.658720201,0.055207026,0.658720201,0.611041405,0.611041405,0.611041405
Drosophila melanogaster,0.611041405,0.924717691,0,0.658720201,0.658720201,0,0.658720201,0.658720201,0,0.658720201,0.930991217,0.550815558,0,0.658720201,0.611041405,0.611041405,0.658720201,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,1,0.055207026,0.924717691,0.611041405,0.611041405,0.611041405
Brachionus calyciflorus,0.055207026,0.055207026,0,0.055207026,0.055207026,0,0.055207026,0.055207026,0,0.055207026,0.055207026,0.055207026,0,0.055207026,0.055207026,0.055207026,0.055207026,0.055207026,0.055207026,0.055207026,0.055207026,0.055207026,0.055207026,1,0.055207026,0.055207026,0.055207026,0.055207026
Ceratitis capitata,0.611041405,0.924717691,0,0.658720201,0.658720201,0,0.658720201,0.658720201,0,0.658720201,0.924717691,0.550815558,0,0.658720201,0.611041405,0.611041405,0.658720201,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,0.924717691,0.055207026,1,0.611041405,0.611041405,0.611041405
Chrysoperla carnea,0.617314931,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0.550815558,0,0.611041405,0.948557089,0.617314931,0.611041405,0.617314931,0.617314931,0.617314931,0.617314931,0.611041405,0.611041405,0.055207026,0.611041405,1,0.617314931,0.617314931
Gnatocerus cornutus,0.700125471,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0.550815558,0,0.611041405,0.617314931,0.774153074,0.611041405,0.808030113,0.700125471,0.700125471,0.700125471,0.611041405,0.611041405,0.055207026,0.611041405,0.617314931,1,0.663739021
Nicrophorus vespilloides,0.663739021,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0.550815558,0,0.611041405,0.617314931,0.663739021,0.611041405,0.663739021,0.663739021,0.663739021,0.663739021,0.611041405,0.611041405,0.055207026,0.611041405,0.617314931,0.663739021,1
