REF,status,PaperYear,Title,PaperAuthor,Journal,Animal,Family,Species,ClimaticZone,Climatic ,Habitat,LifeStage,WildType,Development,CO2Treatment,TempTreatment,Stressor ,CO2ppmC,CO2ppmCS.E.,CO2ppmC S.D.,pH scale,pH C,pH C S.E.,pH C S.D.,CO2ppmI,CO2ppmI S.E.,CO2ppmI S.D.,Ph I,Ph I S.E.,Ph I S.D.,TempC,TempC S.E.,TempC S.D.,TempI,TempI S.E.,TempI S.D.,DiffpCO2,DiffT,Other Factor,Metric,TransformedMetric,Metric Type,Unit,Category,Level,ControlMean,ControlMeanTransformed,ControlSE,ControlN,TreatmentMean,TreatmentMeanTransformed ,TreatmentSE,TreatmentN,AcclimationDays,NbTank,ei,vei,Note,,,,,
2,in,2016,,"Cole VJ, Parker LM, O'Connor SJ, O'Connor WA, Scanes E, Byrne M, Ross PM",Marine Biology,Mollusca,Ostreidae ,Ostrea angasi,Temperate,Temperate,pelagic,LARVA,YES,LARVAL,YES,NO,pH,388,7,NA,NBS,8.20,NA,NA,1158,20,NA,7.79,NA,NA,26.0,NA,NA,26.0,NA,NA,770,0.0,Ambient salinity + full diet,Mortality ,survival,positive,%,Survival,Population level,4.19,95.813953,3.95,3,6.82,93.1818182,6.59,3,4,3,-0.028,0.0067,,,,,,
2,in,2016,,"Cole VJ, Parker LM, O'Connor SJ, O'Connor WA, Scanes E, Byrne M, Ross PM",Marine Biology,Mollusca,Ostreidae ,Ostrea angasi,Temperate,Temperate,pelagic,LARVA,YES,LARVAL,YES,YES,TpH,388,7,NA,NBS,8.20,NA,NA,1194,20,NA,7.79,NA,NA,26.0,NA,NA,30.0,NA,NA,805,4.0,Ambient salinity + full diet,Shell length,Length,positive,µm,Growth,Individual level,292.33,292.325056,5.53,90,286.07,286.0730594,2.40,90,4,3,-0.022,0.0004,,,,,,
2,in,2016,,"Cole VJ, Parker LM, O'Connor SJ, O'Connor WA, Scanes E, Byrne M, Ross PM",Marine Biology,Mollusca,Ostreidae ,Ostrea angasi,Temperate,Temperate,pelagic,LARVA,YES,LARVAL,YES,NO,pH,388,7,NA,NBS,8.20,NA,NA,1158,20,NA,7.79,NA,NA,26.0,NA,NA,26.0,NA,NA,770,0.0,Ambient salinity + full diet,Abnormalities,Normal,positive,%,Development,Population level,0.00,100.000000,0.000000,3,1.43,98.5745614,1.32,3,4,3,-0.014,0.0002,Lots of 0 in here (AP and AQ) but again those are the data - no abnormality found. Abnormality transformed into % normality.,,,,,
2,in,2016,,"Cole VJ, Parker LM, O'Connor SJ, O'Connor WA, Scanes E, Byrne M, Ross PM",Marine Biology,Mollusca,Ostreidae ,Ostrea angasi,Temperate,Temperate,pelagic,LARVA,YES,LARVAL,NO,YES,T,388,7,NA,NBS,8.20,NA,NA,394,7,NA,8.20,NA,NA,26.0,NA,NA,30.0,NA,NA,6,4.0,Ambient salinity + full diet,Abnormalities,Normal,positive,%,Development,Population level,0.00,100.000000,0.000000,3,1.39,98.6111111,1.2778,3,4,3,-0.014,0.0002,Lots of 0 in here (AP and AQ) but again those are the data - no abnormality found. Abnormality transformed into % normality.,,,,,
2,in,2016,,"Cole VJ, Parker LM, O'Connor SJ, O'Connor WA, Scanes E, Byrne M, Ross PM",Marine Biology,Mollusca,Ostreidae ,Ostrea angasi,Temperate,Temperate,pelagic,LARVA,YES,LARVAL,NO,YES,T,388,7,NA,NBS,8.20,NA,NA,394,7,NA,8.20,NA,NA,26.0,NA,NA,30.0,NA,NA,6,4.0,Ambient salinity + full diet,Shell length,Length,positive,µm,Growth,Individual level,292.33,292.325056,5.53,90,292.33,292.3250564,6.32,90,4,3,0.000,0.0008,,,,,,
3,in,2016,,"Collard M, Rastrick SPS, Calosi P, Demolder Y, Dille J ,  Findlay HS, Hall-Spencer JM, Milazzo M, Moulin L, Widdicombe S, Dehairs F, Dubois P",ICES Journal of Marine Science,Echinodermata,Parechinidae ,Paracentrotus lividus ,Temperate,Temperate,benthic,ADULT,NO,LARVAL,NO,YES,T,508,NA,55,NBS,8.06,NA,0.00,537,NA,94,8.03,NA,0.06,13.1,NA,1.6,15.6,NA,2.0,28,2.5,NA,Ambital plates (Force at fracture),Crushing force,positive,F (N),Biomechanics,Individual level,11.50,11.500000,1.17,10,12.40,12.4000000,1.47,12,365,4,0.075,0.0244,,,,,,
3,in,2016,,"Collard M, Rastrick SPS, Calosi P, Demolder Y, Dille J ,  Findlay HS, Hall-Spencer JM, Milazzo M, Moulin L, Widdicombe S, Dehairs F, Dubois P",ICES Journal of Marine Science,Echinodermata,Parechinidae ,Paracentrotus lividus ,Temperate,Temperate,benthic,ADULT,NO,LARVAL,YES,NO,pH,508,NA,55,NBS,8.06,NA,0.00,694,NA,140,7.94,NA,0.07,13.1,NA,1.6,12.9,NA,1.6,186,-0.2,NA,Ambital plates (Force at fracture),Crushing force,positive,F (N),Biomechanics,Individual level,11.50,11.500000,1.17,10,12.70,12.7000000,1.21,12,365,4,0.099,0.0195,,,,,,
3,in,2016,,"Collard M, Rastrick SPS, Calosi P, Demolder Y, Dille J ,  Findlay HS, Hall-Spencer JM, Milazzo M, Moulin L, Widdicombe S, Dehairs F, Dubois P",ICES Journal of Marine Science,Echinodermata,Parechinidae ,Paracentrotus lividus ,Temperate,Temperate,benthic,ADULT,NO,LARVAL,YES,NO,pH,508,NA,55,NBS,8.06,NA,0.00,1016,NA,225,7.78,NA,0.09,13.1,NA,1.6,12.7,NA,1.7,508,-0.3,NA,Ambital plates (Force at fracture),Crushing force,positive,F (N),Biomechanics,Individual level,11.50,11.500000,1.17,10,13.40,13.4000000,1.24,12,365,4,0.153,0.0189,,,,,,
3,in,2016,,"Collard M, Rastrick SPS, Calosi P, Demolder Y, Dille J ,  Findlay HS, Hall-Spencer JM, Milazzo M, Moulin L, Widdicombe S, Dehairs F, Dubois P",ICES Journal of Marine Science,Echinodermata,Parechinidae ,Paracentrotus lividus ,Temperate,Temperate,benthic,ADULT,NO,LARVAL,YES,YES,TpH,508,NA,55,NBS,8.06,NA,0.00,695,NA,134,7.93,NA,0.08,13.1,NA,1.6,15.6,NA,1.8,186,2.6,NA,Ambital plates (Force at fracture),Crushing force,positive,F (N),Biomechanics,Individual level,11.50,11.500000,1.17,10,13.50,13.5000000,1.24,11,365,4,0.160,0.0187,,,,,,
5,in,2015,,"Foster T, Gilmour JP, Chua CM, Falter J, Mccullouch M",Coral Reefs,Cnidaria,Acropoidae,Acropora spicifera,"Tropical, Indo-Pacific, Great Barrier Reef",Tropical,benthic,JUVENILE,YES,LARVAL,YES,NO,pH,242,NA,22,total,8.22,NA,0.05,872,NA,58,7.77,NA,0.06,24.4,NA,0.5,24.1,NA,0.6,630,-0.3,NA,Skeletal weigth,Skeletal weigth,ambiguous,µg,Growth,Individual level,267.51,267.505470,29.87,5,104.38,104.3763676,16.85,5,31,4,-0.941,0.0385,,,,,,
5,in,2015,,"Foster T, Gilmour JP, Chua CM, Falter J, Mccullouch M",Coral Reefs,Cnidaria,Acropoidae,Acropora spicifera,"Tropical, Indo-Pacific, Great Barrier Reef",Tropical,benthic,JUVENILE,YES,LARVAL,YES,YES,TpH,242,NA,22,total,8.22,NA,0.05,976,NA,103,7.75,NA,0.08,24.4,NA,0.5,27.4,NA,0.9,734,3.0,NA,Skeletal weigth,Skeletal weigth,ambiguous,µg,Growth,Individual level,267.51,267.505470,29.87,5,138.84,138.8402626,6.89,5,31,4,-0.656,0.0149,,,,,,
5,in,2015,,"Foster T, Gilmour JP, Chua CM, Falter J, Mccullouch M",Coral Reefs,Cnidaria,Acropoidae,Acropora spicifera,"Tropical, Indo-Pacific, Great Barrier Reef",Tropical,benthic,JUVENILE,YES,LARVAL,NO,YES,T,242,NA,22,total,8.22,NA,0.05,275,NA,24,8.18,NA,0.05,24.4,NA,0.5,27.6,NA,0.8,33,3.2,NA,Skeletal weigth,Skeletal weigth,ambiguous,µg,Growth,Individual level,267.51,267.505470,29.87,5,243.00,242.9978118,36.76,5,31,4,-0.096,0.0354,,,,,,
5,in,2015,,"Foster T, Gilmour JP, Chua CM, Falter J, Mccullouch M",Coral Reefs,Cnidaria,Acropoidae,Acropora spicifera,"Tropical, Indo-Pacific, Great Barrier Reef",Tropical,benthic,JUVENILE,YES,LARVAL,YES,NO,pH,242,NA,22,total,8.22,NA,0.05,872,NA,58,7.77,NA,0.06,24.4,NA,0.5,24.1,NA,0.6,630,-0.3,Post-settlement survival,survival,Survival,positive,%,Survival,Population level,63.40,63.402062,7.04,4,59.45,59.4501718,12.71,4,28,4,-0.064,0.0581,,,,,,
5,in,2015,,"Foster T, Gilmour JP, Chua CM, Falter J, Mccullouch M",Coral Reefs,Cnidaria,Acropoidae,Acropora spicifera,"Tropical, Indo-Pacific, Great Barrier Reef",Tropical,benthic,JUVENILE,YES,LARVAL,NO,YES,T,242,NA,22,total,8.22,NA,0.05,275,NA,24,8.18,NA,0.05,24.4,NA,0.5,27.6,NA,0.8,33,3.2,Post-settlement survival,survival,Survival,positive,%,Survival,Population level,63.40,63.402062,7.04,4,62.71,62.7147766,7.73,4,28,4,-0.011,0.0275,,,,,,
5,in,2015,,"Foster T, Gilmour JP, Chua CM, Falter J, Mccullouch M",Coral Reefs,Cnidaria,Acropoidae,Acropora spicifera,"Tropical, Indo-Pacific, Great Barrier Reef",Tropical,benthic,LARVA,YES,LARVAL,NO,YES,T,242,NA,22,total,8.22,NA,0.05,275,NA,24,8.18,NA,0.05,24.4,NA,0.5,27.6,NA,0.8,33,3.2,NA,Settlement,Settlement,positive,%,Development,Population level,33.54,33.542245,2.77,4,33.30,33.3040093,1.99,4,28,4,-0.007,0.0104,,,,,,
5,in,2015,,"Foster T, Gilmour JP, Chua CM, Falter J, Mccullouch M",Coral Reefs,Cnidaria,Acropoidae,Acropora spicifera,"Tropical, Indo-Pacific, Great Barrier Reef",Tropical,benthic,JUVENILE,YES,LARVAL,YES,YES,TpH,242,NA,22,total,8.22,NA,0.05,976,NA,103,7.75,NA,0.08,24.4,NA,0.5,27.4,NA,0.9,734,3.0,Post-settlement survival,Survival,Survival,positive,%,Survival,Population level,63.40,63.402062,7.04,4,69.59,69.5876289,7.73,4,28,4,0.093,0.0247,,,,,,
5,in,2015,,"Foster T, Gilmour JP, Chua CM, Falter J, Mccullouch M",Coral Reefs,Cnidaria,Acropoidae,Acropora spicifera,"Tropical, Indo-Pacific, Great Barrier Reef",Tropical,benthic,LARVA,YES,LARVAL,YES,NO,pH,242,NA,22,total,8.22,NA,0.05,872,NA,58,7.77,NA,0.06,24.4,NA,0.5,24.1,NA,0.6,630,-0.3,NA,Settlement,Settlement,positive,%,Development,Population level,33.54,33.542245,2.77,4,37.14,37.1385639,5.46,4,28,4,0.102,0.0284,,,,,,
5,in,2015,,"Foster T, Gilmour JP, Chua CM, Falter J, Mccullouch M",Coral Reefs,Cnidaria,Acropoidae,Acropora spicifera,"Tropical, Indo-Pacific, Great Barrier Reef",Tropical,benthic,LARVA,YES,LARVAL,YES,YES,TpH,242,NA,22,total,8.22,NA,0.05,976,NA,103,7.75,NA,0.08,24.4,NA,0.5,27.4,NA,0.9,734,3.0,NA,Settlement,Settlement,positive,%,Development,Population level,33.54,33.542245,2.77,4,44.01,44.0060474,3.64,4,28,4,0.272,0.0137,,,,,,
6,out,2011,,"Hale R, Calosi P, McNeill L, Mieszkowska N, Widdicombe S",Oikos,Echinodermata,NA,NA,Temperate,Temperate,benthic,JUVENILE/ADULT,YES,NA,YES,YES,TpH,729,NA,160,NIST,7.86,NA,0.09,3010,NA,4141,6.66,NA,0.19,11.8,NA,0.4,15.5,NA,1.5,2281,4,Number of individuals (Echinodermata),Number of individuals,Number of individuals,positive,number,Survival,Community level,6.78,6.776471,0.002800,5,0.00,0.0677647,0.01,5,60,5,-4.605,0.0113,lots of 0 in the SE response here because error was smaller than the symbol used,,,,,
6,out,2011,,"Hale R, Calosi P, McNeill L, Mieszkowska N, Widdicombe S",Oikos,Mollusca,Rissoidae,Rissoa parva,Temperate,Temperate,benthic,JUVENILE/ADULT,YES,LARVAL,YES,YES,TpH,729,NA,160,NIST,7.86,NA,0.09,3010,NA,4141,6.66,NA,0.19,11.8,NA,0.4,15.5,NA,1.5,2281,4,Number of individuals (the gastropod Rissoa parva),Number of individuals,Number of individuals,positive,number,Biodiversity,Community level,9.32,9.316210,4.100228,5,0.00,0.0931621,0.00,5,60,5,-4.605,0.1937,lots of 0 in the SE response here because error was smaller than the symbol used,,,,,
6,out,2011,,"Hale R, Calosi P, McNeill L, Mieszkowska N, Widdicombe S",Oikos,Mollusca,Rissoidae,Rissoa interrupta,Temperate,Temperate,benthic,JUVENILE/ADULT,YES,LARVAL,YES,YES,TpH,729,NA,160,NIST,7.86,NA,0.09,3010,NA,4141,6.66,NA,0.19,11.8,NA,0.4,15.5,NA,1.5,2281,4,Number of individuals (the gastropod Rissoa interrupta),Number of individuals,Number of individuals,positive,number,Biodiversity,Community level,7.47,7.465438,4.188940,5,0.00,0.0746544,0.00,5,60,5,-4.605,0.3148,lots of 0 in the SE response here because error was smaller than the symbol used,,,,,
6,out,2011,,"Hale R, Calosi P, McNeill L, Mieszkowska N, Widdicombe S",Oikos,Mollusca,NA,NA,Temperate,Temperate,benthic,JUVENILE/ADULT,YES,LARVAL,YES,NO,pH,729,NA,160,NIST,7.86,NA,0.09,2269,NA,3127,6.81,NA,0.23,11.8,NA,0.4,11.5,NA,0.4,1540,0,Number of individuals (Mollusca),Number of individuals,Number of individuals,positive,number,Survival,Community level,35.02,35.022026,7.929515,5,0.00,0.3502203,0.00,5,60,5,-4.605,0.0513,lots of 0 in the SE response here because error was smaller than the symbol used,,,,,
6,in,2011,,"Hale R, Calosi P, McNeill L, Mieszkowska N, Widdicombe S",Oikos,Mollusca,Rissoidae,Rissoa interrupta,Temperate,Temperate,benthic,JUVENILE/ADULT,YES,LARVAL,YES,NO,pH,729,NA,160,NIST,7.86,NA,0.09,2269,NA,3127,6.81,NA,0.23,11.8,NA,0.4,11.5,NA,0.4,1540,-0.3,Number of individuals (the gastropod Rissoa interrupta),Number of individuals,Number of individuals,positive,number,Survival,Community level,7.47,7.465438,4.188940,5,0.41,0.4147465,0.00,5,60,5,-2.890,0.3148,lots of 0 in the SE response here because error was smaller than the symbol used,,,,,
6,in,2011,,"Hale R, Calosi P, McNeill L, Mieszkowska N, Widdicombe S",Oikos,Mollusca,Rissoidae,Rissoa interrupta,Temperate,Temperate,benthic,JUVENILE/ADULT,YES,LARVAL,YES,YES,TpH,729,NA,160,NIST,7.86,NA,0.09,2612,NA,547,7.37,NA,0.10,11.8,NA,0.4,15.8,NA,0.3,1882,4.0,Number of individuals (the gastropod Rissoa interrupta),Number of individuals,Number of individuals,positive,number,Survival,Community level,7.47,7.465438,4.188940,5,0.41,0.4147465,0.00,5,60,5,-2.890,0.3148,lots of 0 in the SE response here because error was smaller than the symbol used,,,,,
6,in,2011,,"Hale R, Calosi P, McNeill L, Mieszkowska N, Widdicombe S",Oikos,Arthropoda,Stenothoidae , Stenothoe monoculoides,Temperate,Temperate,benthic,JUVENILE/ADULT,YES,DIRECT,YES,YES,TpH,729,NA,160,NIST,7.86,NA,0.09,3010,NA,4141,6.66,NA,0.19,11.8,NA,0.4,15.5,NA,1.5,2281,3.7,Numbers of individuals (the gammaridean Stenothoe monoculoides),Number of individuals,Number of individuals,positive,number,Survival,Community level,36.37,36.367816,24.459770,5,2.57,2.5747126,0.00,5,60,5,-2.648,0.4523,lots of 0 in the SE response here because error was smaller than the symbol used,,,,,
6,in,2011,,"Hale R, Calosi P, McNeill L, Mieszkowska N, Widdicombe S",Oikos,Arthropoda,Stenothoidae , Stenothoe monoculoides,Temperate,Temperate,benthic,JUVENILE/ADULT,YES,DIRECT,YES,YES,TpH,729,NA,160,NIST,7.86,NA,0.09,2612,NA,547,7.37,NA,0.10,11.8,NA,0.4,15.8,NA,0.3,1882,4.0,Numbers of individuals (the gammaridean Stenothoe monoculoides),Number of individuals,Number of individuals,positive,number,Survival,Community level,36.37,36.367816,24.459770,5,2.57,2.5747126,0.00,5,60,5,-2.648,0.4523,lots of 0 in the SE response here because error was smaller than the symbol used,,,,,
6,in,2011,,"Hale R, Calosi P, McNeill L, Mieszkowska N, Widdicombe S",Oikos,Annelida,NA,Annelida,Temperate,Temperate,benthic,JUVENILE,YES,LARVAL,YES,YES,TpH,729,NA,160,NIST,7.86,NA,0.09,1423,NA,389,7.61,NA,0.15,11.8,NA,0.4,16.0,NA,0.6,694,4.2,Numbers of individuals (ragworm nereid juveniles),Number of individuals,Number of individuals,positive,number,Survival,Community level,81.97,81.967213,74.590164,5,6.56,6.5573770,0.00,5,60,5,-2.526,0.8281,lots of 0 in the SE response here because error was smaller than the symbol used,,,,,
6,in,2011,,"Hale R, Calosi P, McNeill L, Mieszkowska N, Widdicombe S",Oikos,Mollusca,Rissoidae,Rissoa interrupta,Temperate,Temperate,benthic,JUVENILE/ADULT,YES,LARVAL,YES,NO,pH,729,NA,160,NIST,7.86,NA,0.09,2729,NA,499,7.35,NA,0.07,11.8,NA,0.4,11.7,NA,0.4,2000,-0.1,Number of individuals (the gastropod Rissoa interrupta),Number of individuals,Number of individuals,positive,number,Survival,Community level,7.47,7.465438,4.188940,5,0.66,0.6635945,0.12,5,60,5,-2.420,0.3500,lots of 0 in the SE response here because error was smaller than the symbol used,,,,,
6,in,2011,,"Hale R, Calosi P, McNeill L, Mieszkowska N, Widdicombe S",Oikos,Annelida,NA,Annelida,Temperate,Temperate,benthic,JUVENILE,YES,LARVAL,YES,YES,TpH,729,NA,160,NIST,7.86,NA,0.09,3010,NA,4141,6.66,NA,0.19,11.8,NA,0.4,15.5,NA,1.5,2281,3.7,Numbers of individuals (ragworm nereid juveniles),Number of individuals,Number of individuals,positive,number,Survival,Community level,81.97,81.967213,74.590164,5,7.38,7.3770492,0.00,5,60,5,-2.408,0.8281,lots of 0 in the SE response here because error was smaller than the symbol used,,,,,
6,in,2011,,"Hale R, Calosi P, McNeill L, Mieszkowska N, Widdicombe S",Oikos,Annelida,NA,Annelida,Temperate,Temperate,benthic,JUVENILE,YES,LARVAL,YES,YES,TpH,729,NA,160,NIST,7.86,NA,0.09,2612,NA,547,7.37,NA,0.10,11.8,NA,0.4,15.8,NA,0.3,1882,4.0,Numbers of individuals (ragworm nereid juveniles),Number of individuals,Number of individuals,positive,number,Survival,Community level,81.97,81.967213,74.590164,5,7.38,7.3770492,0.00,5,60,5,-2.408,0.8281,lots of 0 in the SE response here because error was smaller than the symbol used,,,,,
6,out,2011,,"Hale R, Calosi P, McNeill L, Mieszkowska N, Widdicombe S",Oikos,Mollusca,NA,NA,Temperate,Temperate,benthic,JUVENILE/ADULT,YES,LARVAL,YES,YES,TpH,729,NA,160,NIST,7.86,NA,0.09,3010,NA,4141,6.66,NA,0.19,11.8,NA,0.4,15.5,NA,1.5,2281,3.7,Number of species (Mollusca),Number of species (Mollusca),Number of species,positive,number,Biodiversity,Community level,9.12,9.123223,0.71,5,1.07,1.0663507,0.53,5,60,5,-2.147,0.2561,out because only kept global species richness across the 3 taxa,,,,,
6,out,2011,,"Hale R, Calosi P, McNeill L, Mieszkowska N, Widdicombe S",Oikos,Mollusca,NA,NA,Temperate,Temperate,benthic,JUVENILE/ADULT,YES,LARVAL,YES,NO,pH,729,NA,160,NIST,7.86,NA,0.09,2269,NA,3127,6.81,NA,0.23,11.8,NA,0.4,11.5,NA,0.4,1540,-0.3,Number of species (Mollusca),Number of species (Mollusca),Number of species,positive,number,Biodiversity,Community level,9.12,9.123223,0.71,5,1.13,1.1255924,0.00,5,60,5,-2.093,0.0061,out because only kept global species richness across the 3 taxa,,,,,
